"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"57","BC","tg_mean","CNRM-CM5","rcp85","2071-2100",4.70388803657736,0.355080013258697
"58","BC","tg_mean","CNRM-CM5","rcp85","2041-2070",2.58038032992221,0.24153942421772
"59","BC","tg_mean","CSIRO-Mk3-6-0","rcp85","2071-2100",5.60010903578274,0.45785071660132
"60","BC","tg_mean","CSIRO-Mk3-6-0","rcp85","2041-2070",3.28846226649779,0.294402787343782
"61","BC","tg_mean","CanESM2","rcp85","2071-2100",7.03251968916258,0.418324208974938
"62","BC","tg_mean","CanESM2","rcp85","2041-2070",4.39888763199207,0.290984768878096
"63","BC","tg_mean","FGOALS-g2","rcp85","2071-2100",3.90370100751794,0.529488883679652
"64","BC","tg_mean","FGOALS-g2","rcp85","2041-2070",2.60031972110709,0.235900600538701
"65","BC","tg_mean","GFDL-CM3","rcp85","2071-2100",5.90878362628502,0.575096160945399
"66","BC","tg_mean","GFDL-CM3","rcp85","2041-2070",3.85951640717691,0.362632124131149
"67","BC","tg_mean","GFDL-ESM2G","rcp85","2071-2100",4.11943171205359,0.17630501370135
"68","BC","tg_mean","GFDL-ESM2G","rcp85","2041-2070",2.33070055881767,0.0909531933907579
"69","BC","tg_mean","GFDL-ESM2M","rcp85","2071-2100",3.02406532021363,0.238596663034041
"70","BC","tg_mean","GFDL-ESM2M","rcp85","2041-2070",1.76295655270403,0.161031035795481
"71","BC","tg_mean","HadGEM2-AO","rcp85","2071-2100",6.84530667071752,0.538873106799863
"72","BC","tg_mean","HadGEM2-AO","rcp85","2041-2070",4.49304263549274,0.43286476534131
"73","BC","tg_mean","HadGEM2-ES","rcp85","2071-2100",7.02145896044359,0.815614503758508
"74","BC","tg_mean","HadGEM2-ES","rcp85","2041-2070",4.43522352784519,0.569049490179704
"75","BC","tg_mean","IPSL-CM5A-LR","rcp85","2071-2100",6.36886231606818,0.3263839796133
"76","BC","tg_mean","IPSL-CM5A-LR","rcp85","2041-2070",3.90378958139481,0.31262921819386
"77","BC","tg_mean","IPSL-CM5A-MR","rcp85","2071-2100",6.08976938482778,0.406435731758859
"78","BC","tg_mean","IPSL-CM5A-MR","rcp85","2041-2070",3.94266081863273,0.271787836812692
"79","BC","tg_mean","MIROC-ESM-CHEM","rcp85","2071-2100",7.54981680289167,0.955269797146523
"80","BC","tg_mean","MIROC-ESM-CHEM","rcp85","2041-2070",4.80501917927176,0.569124472960641
"81","BC","tg_mean","MIROC-ESM","rcp85","2071-2100",6.88932063748456,0.823440755726408
"82","BC","tg_mean","MIROC-ESM","rcp85","2041-2070",4.59622999428096,0.591690844996048
"83","BC","tg_mean","MIROC5","rcp85","2071-2100",5.72523102953849,0.832099221699259
"84","BC","tg_mean","MIROC5","rcp85","2041-2070",3.40753612372624,0.489316123946315
"85","BC","tg_mean","MPI-ESM-LR","rcp85","2071-2100",5.32435430801252,0.636690874489068
"86","BC","tg_mean","MPI-ESM-LR","rcp85","2041-2070",3.25001981905768,0.287782021046327
"87","BC","tg_mean","MPI-ESM-MR","rcp85","2071-2100",5.13560651636631,0.632899316487881
"88","BC","tg_mean","MPI-ESM-MR","rcp85","2041-2070",3.38650622388569,0.287656372159954
"89","BC","tg_mean","MRI-CGCM3","rcp85","2071-2100",3.3020885570938,0.193932302318169
"90","BC","tg_mean","MRI-CGCM3","rcp85","2041-2070",1.91421185193955,0.148690599338069
"91","BC","tg_mean","NorESM1-ME","rcp85","2071-2100",5.38565773511872,0.578793117324939
"92","BC","tg_mean","NorESM1-ME","rcp85","2041-2070",2.98628323417733,0.313640864610379
"93","BC","tg_mean","NorESM1-M","rcp85","2071-2100",5.16913990948003,0.490524969820234
"94","BC","tg_mean","NorESM1-M","rcp85","2041-2070",2.89127048996906,0.298011868127032
"95","BC","tg_mean","bcc-csm1-1-m","rcp85","2071-2100",4.67012002786977,0.335480499852351
"96","BC","tg_mean","bcc-csm1-1-m","rcp85","2041-2070",2.76669767664563,0.179510051142108
"97","BC","tg_mean","bcc-csm1-1","rcp85","2071-2100",5.66705086425123,0.318634857196204
"98","BC","tg_mean","bcc-csm1-1","rcp85","2041-2070",3.80436094774535,0.219134784597699
"99","BC","tg_mean","ACCESS1-0","rcp85","2071-2100",6.31296245420124,0.687209952921696
"100","BC","tg_mean","ACCESS1-0","rcp85","2041-2070",3.57564104533542,0.447000014872543
"101","AB","tg_mean","BNU-ESM","rcp45","2071-2100",4.32412571569886,0.508734350002803
"102","AB","tg_mean","BNU-ESM","rcp45","2041-2070",3.41401011534411,0.45239026352072
"103","AB","tg_mean","CCSM4","rcp45","2071-2100",2.88541215646147,0.136332471200712
"104","AB","tg_mean","CCSM4","rcp45","2041-2070",2.14764830464064,0.140833435562372
"105","AB","tg_mean","CESM1-CAM5","rcp45","2071-2100",3.73677999323065,0.337745478088489
"106","AB","tg_mean","CESM1-CAM5","rcp45","2041-2070",2.74305484078147,0.216712102420742
"107","AB","tg_mean","CNRM-CM5","rcp45","2071-2100",2.93316857309052,0.201794048942874
"108","AB","tg_mean","CNRM-CM5","rcp45","2041-2070",2.23469024234348,0.131980860028866
"109","AB","tg_mean","CSIRO-Mk3-6-0","rcp45","2071-2100",3.65836772148055,0.202295875359661
"110","AB","tg_mean","CSIRO-Mk3-6-0","rcp45","2041-2070",3.04775511423747,0.172473752386872
"111","AB","tg_mean","CanESM2","rcp45","2071-2100",4.19171790691337,0.140708081981719
"112","AB","tg_mean","CanESM2","rcp45","2041-2070",3.60620454537748,0.141298230693227
"113","AB","tg_mean","FGOALS-g2","rcp45","2071-2100",2.12689181241122,0.123465320088797
"114","AB","tg_mean","FGOALS-g2","rcp45","2041-2070",2.22652224723739,0.12036926195184
"115","AB","tg_mean","GFDL-CM3","rcp45","2071-2100",3.70996197401875,0.246120837880354
"116","AB","tg_mean","GFDL-CM3","rcp45","2041-2070",2.86716140592941,0.315948107031251
"117","AB","tg_mean","GFDL-ESM2G","rcp45","2071-2100",2.34368433326182,0.107112048422118
"118","AB","tg_mean","GFDL-ESM2G","rcp45","2041-2070",2.24286139709781,0.141555149441895
