"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"58","BC","prcptot","CNRM-CM5","rcp85","2041-2070",1.11164078588155,0.0442268918111116
"59","BC","prcptot","CSIRO-Mk3-6-0","rcp85","2071-2100",1.14967519789646,0.0865919912957234
"60","BC","prcptot","CSIRO-Mk3-6-0","rcp85","2041-2070",1.06005014249437,0.0616399664958539
"61","BC","prcptot","CanESM2","rcp85","2071-2100",1.21914724629906,0.0833348927126415
"62","BC","prcptot","CanESM2","rcp85","2041-2070",1.17363641747269,0.0618431847558323
"63","BC","prcptot","FGOALS-g2","rcp85","2071-2100",1.21419259841001,0.0459077694516599
"64","BC","prcptot","FGOALS-g2","rcp85","2041-2070",1.10705172633583,0.0214822109631083
"65","BC","prcptot","GFDL-CM3","rcp85","2071-2100",1.27810564959628,0.106270784786112
"66","BC","prcptot","GFDL-CM3","rcp85","2041-2070",1.19409425429325,0.0923891436488878
"67","BC","prcptot","GFDL-ESM2G","rcp85","2071-2100",1.21169793363812,0.0873550113382554
"68","BC","prcptot","GFDL-ESM2G","rcp85","2041-2070",1.10742466192303,0.0372178338759865
"69","BC","prcptot","GFDL-ESM2M","rcp85","2071-2100",1.12967928433868,0.0575386134289076
"70","BC","prcptot","GFDL-ESM2M","rcp85","2041-2070",1.08807104125945,0.0463288543209276
"71","BC","prcptot","HadGEM2-AO","rcp85","2071-2100",1.06938166594896,0.0686655621744379
"72","BC","prcptot","HadGEM2-AO","rcp85","2041-2070",1.04544152412129,0.0441646627370131
"73","BC","prcptot","HadGEM2-ES","rcp85","2071-2100",1.04096202255496,0.0666670421675461
"74","BC","prcptot","HadGEM2-ES","rcp85","2041-2070",1.1039723784033,0.0574544782194428
"75","BC","prcptot","IPSL-CM5A-LR","rcp85","2071-2100",1.1323273807671,0.05707132100969
"76","BC","prcptot","IPSL-CM5A-LR","rcp85","2041-2070",1.06725740573749,0.0588774109768854
"77","BC","prcptot","IPSL-CM5A-MR","rcp85","2071-2100",1.15090654153812,0.0842294674925089
"78","BC","prcptot","IPSL-CM5A-MR","rcp85","2041-2070",1.09324716130276,0.0598592626343592
"79","BC","prcptot","MIROC-ESM-CHEM","rcp85","2071-2100",1.23845692781514,0.066361018809991
"80","BC","prcptot","MIROC-ESM-CHEM","rcp85","2041-2070",1.14783930872573,0.0413682766587938
"81","BC","prcptot","MIROC-ESM","rcp85","2071-2100",1.23911590557569,0.0459247447716309
"82","BC","prcptot","MIROC-ESM","rcp85","2041-2070",1.1465392861692,0.0253599011289436
"83","BC","prcptot","MIROC5","rcp85","2071-2100",1.12734562063901,0.0651122854152466
"84","BC","prcptot","MIROC5","rcp85","2041-2070",1.0976461708884,0.0347458704932402
"85","BC","prcptot","MPI-ESM-LR","rcp85","2071-2100",1.1715378964928,0.0773900829833875
"86","BC","prcptot","MPI-ESM-LR","rcp85","2041-2070",1.12565878430996,0.0577947325195157
"87","BC","prcptot","MPI-ESM-MR","rcp85","2071-2100",1.15683011374941,0.0931359113665589
"88","BC","prcptot","MPI-ESM-MR","rcp85","2041-2070",1.13819993993458,0.0532382766912498
